ability_id,version_group_id,language_id,flavor_text
1,5,9,Helps repel wild POKéMON.
1,6,9,Helps repel wild POKéMON.
1,7,9,Helps repel wild POKéMON.
1,8,9,"The stench helps keep
wild Pokémon away."
1,9,9,"The stench helps keep
wild Pokémon away."
1,10,9,"The stench helps keep
wild Pokémon away."
1,11,5,"La puanteur peut
effrayer l’adversaire."
1,11,9,"The stench may cause
the target to flinch."
1,14,9,"The stench may cause
the target to flinch."
1,15,1,"くさくて　あいてが
ひるむ　ことがある。"
1,15,3,"악취 때문에 상대가
풀죽을 때가 있다."
1,15,5,"La puanteur peut effrayer
l’adversaire."
1,15,6,"Lässt den Gegner durch Gestank
zurückschrecken."
1,15,7,"Es posible que el rival retroceda
por el mal olor."
1,15,8,"A volte il cattivo odore
fa tentennare i nemici."
1,15,9,"The stench may cause
the target to flinch."
1,15,11,"臭くて　相手が
ひるむ　ことがある。"
1,16,1,"くさくて　あいてが
ひるむ　ことがある。"
1,16,3,"악취 때문에 상대가
풀죽을 때가 있다."
1,16,5,"La puanteur peut effrayer
l’adversaire."
1,16,6,"Lässt den Gegner durch Gestank
zurückschrecken."
1,16,7,"Es posible que el rival retroceda
por el mal olor."
1,16,8,"A volte il cattivo odore
fa tentennare i nemici."
1,16,9,"The stench may cause
the target to flinch."
1,16,11,"臭くて　相手が
ひるむ　ことがある。"
2,5,9,Summons rain in battle.
2,6,9,Summons rain in battle.
2,7,9,Summons rain in battle.
2,8,9,"The Pokémon makes it rain
if it appears in battle."
2,9,9,"The Pokémon makes it rain
if it appears in battle."
2,10,9,"The Pokémon makes it rain
if it appears in battle."
2,11,5,"Le Pokémon invoque la pluie
quand il entre au combat."
2,11,9,"The Pokémon makes it rain
if it appears in battle."
2,14,9,"The Pokémon makes it rain
if it appears in battle."
2,15,1,"せんとうに　でると
あめを　ふらす。"
2,15,3,"배틀에 나가면
비를 내린다."
2,15,5,"Le Pokémon invoque la pluie
quand il entre au combat."
2,15,6,Ruft im Kampf Regen herbei.
2,15,7,"Hace que llueva cuando entra en
combate."
2,15,8,"Quando scende in campo,
il Pokémon attira la pioggia."
2,15,9,"The Pokémon makes it rain
when it enters a battle."
2,15,11,"戦闘に　でると
雨を　降らす。"
2,16,1,"せんとうに　でると
あめを　ふらす。"
2,16,3,"배틀에 나가면
비를 내린다."
2,16,5,"Le Pokémon invoque la pluie
quand il entre au combat."
2,16,6,Ruft im Kampf Regen herbei.
2,16,7,"Hace que llueva cuando entra en
combate."
2,16,8,"Quando scende in campo,
il Pokémon attira la pioggia."
2,16,9,"The Pokémon makes it rain
when it enters a battle."
2,16,11,"戦闘に　でると
雨を　降らす。"
3,5,9,Gradually boosts SPEED.
3,6,9,Gradually boosts SPEED.
3,7,9,Gradually boosts SPEED.
3,8,9,"The Pokémon’s Speed stat
is gradually boosted."
3,9,9,"The Pokémon’s Speed stat
is gradually boosted."
3,10,9,"Its Speed stat is
gradually boosted."
3,11,5,"La Vitesse du Pokémon
augmente progressivement."
3,11,9,"Its Speed stat is
gradually boosted."
3,14,9,"Its Speed stat is
gradually boosted."
3,15,1,"ちょっとずつ
すばやく　なっていく。"
3,15,3,"조금씩
스피드가 높아진다."
3,15,5,"La Vitesse du Pokémon
augmente progressivement."
3,15,6,Erhöht Initiative nach und nach.
3,15,7,"Aumenta la Velocidad
gradualmente."
3,15,8,"La statistica Velocità aumenta
gradualmente."
3,15,9,"Its Speed stat is
gradually boosted."
3,15,11,"ちょっとずつ
素早く　なっていく。"
3,16,1,"ちょっとずつ
すばやく　なっていく。"
3,16,3,"조금씩
스피드가 높아진다."
3,16,5,"La Vitesse du Pokémon
augmente progressivement."
3,16,6,Erhöht Initiative nach und nach.
3,16,7,"Aumenta la Velocidad
gradualmente."
3,16,8,"La statistica Velocità aumenta
gradualmente."
3,16,9,"Its Speed stat is
gradually boosted."
3,16,11,"ちょっとずつ
素早く　なっていく。"
4,5,9,Blocks critical hits.
4,6,9,Blocks critical hits.
4,7,9,Blocks critical hits.
4,8,9,"The Pokémon is protected
against critical hits."
4,9,9,"The Pokémon is protected
against critical hits."
4,10,9,"The Pokémon is protected
against critical hits."
4,11,5,"Le Pokémon est protégé
des coups critiques."
4,11,9,"The Pokémon is protected
against critical hits."
4,14,9,"The Pokémon is protected
against critical hits."
4,15,1,"あいての　こうげきが
きゅうしょに　あたらない。"
4,15,3,"상대의 공격이
급소에 맞지 않는다."
4,15,5,"Le Pokémon est protégé des
coups critiques."
4,15,6,Wehrt gegnerische Volltreffer ab.
4,15,7,Bloquea golpes críticos.
4,15,8,"Evita che il Pokémon subisca
brutti colpi."
4,15,9,"Protects the Pokémon
from critical hits."
4,15,11,"相手の　攻撃が
急所に　当たらない。"
4,16,1,"あいての　こうげきが
きゅうしょに　あたらない。"
4,16,3,"상대의 공격이
급소에 맞지 않는다."
4,16,5,"Le Pokémon est protégé des
coups critiques."
4,16,6,Wehrt gegnerische Volltreffer ab.
4,16,7,Bloquea los golpes críticos.
4,16,8,"Evita che il Pokémon subisca
brutti colpi."
4,16,9,"Protects the Pokémon
from critical hits."
4,16,11,"相手の　攻撃が
急所に　当たらない。"
5,5,9,Negates 1-hit KO attacks.
5,6,9,Negates 1-hit KO attacks.
5,7,9,Negates 1-hit KO attacks.
5,8,9,"The Pokémon is protected
against 1-hit KO attacks."
5,9,9,"The Pokémon is protected
against 1-hit KO attacks."
5,10,9,"It is protected against
1-hit KO attacks."
5,11,5,"Protège des capacités
mettant K.O. en un coup."
5,11,9,"It cannot be knocked
out with one hit."
5,14,9,"It cannot be knocked
out with one hit."
5,15,1,"いちげきで
たおされない。"
5,15,3,"일격으로
쓰러지지 않는다."
5,15,5,"Protège des capacités mettant
K.O. en un coup."
5,15,6,Bietet Schutz gegen K.O.-Treffer.
5,15,7,"Evita que el rival pueda debilitarle
de un solo golpe."
5,15,8,"Evita che il Pokémon vada KO
in un sol colpo."
5,15,9,"It cannot be knocked
out with one hit."
5,15,11,"一撃で　倒されない。
"
5,16,1,"いちげきで
たおされない。"
